Date,Description,Amount
2026-01-02,ACME CORP PAYROLL,3500.00
2026-01-03,WHOLE FOODS MARKET,-86.45
2026-01-05,NETFLIX.COM,-15.99
2026-01-05,NETFLIX.COM,-15.99
2026-01-07,SHELL OIL 1234,-55.20
2026-01-10,UBER TRIP,-18.50
2026-01-12,AMAZON.COM,-120.00
2026-01-15,LANDLORD RENT PAYMENT,-1400.00
2026-01-18,STARBUCKS,-6.75
2026-01-20,SPOTIFY USA,-10.99
2026-01-22,LOCAL RESTAURANT,-64.30
2026-01-25,ATM FEE,-3.50
2026-01-28,CVS PHARMACY,-22.10
2026-02-02,ACME CORP PAYROLL,3500.00
2026-02-04,WHOLE FOODS MARKET,-92.10
2026-02-05,NETFLIX.COM,-15.99
2026-02-08,ELECTRIC UTILITY CO,-110.00
2026-02-10,UBER TRIP,-22.00
2026-02-14,APPLE.COM/BILL,-9.99
2026-02-15,LANDLORD RENT PAYMENT,-1400.00
2026-02-18,LARGE ELECTRONICS STORE,-899.00
2026-02-20,SPOTIFY USA,-10.99
2026-02-22,TRANSFER TO SAVINGS,-500.00
2026-02-25,INTEREST PAID,2.15
